Year,Average_Interest_Rate(%),Gross_capital_formation(%)
2001,13.19,4.760108984
2002,13.61,-2.107421415
2003,9.4,8.891592488
2004,7.28,9.464011001
2005,9.07,9.22770293
2006,10.99,17.84326483
2007,11.77,3.484150644
2008,12.94,3.561412004
2009,11.8,-3.450883117
2010,12,-6.807589696
2011,11.25,-7.432066695
2012,8.5,3.606983677
2013,8.25,2.667985473
2014,8.25,3.436967816
2015,6.35,12.5407802
2016,5.42,9.039133721
2017,6.25,7.413278967
2018,7.37,9.861300109
2019,11.29,-9.696396551
2020,9.21,-6.058312668
2021,8.58,4.008112149
2022,14.25,4.597894779
2023,20,-13.61452649
2024,17.1,-2.641371942
